Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region
AG-330,Alex Grayson,Consumer,Kassala,Kassala,Sudan,,Africa,Africa
AG-390,Allen Goldenen,Consumer,Gulu,Gulu,Uganda,,Africa,Africa
AG-495,Andrew Gjertsen,Corporate,Windhoek,Khomas,Namibia,,Africa,Africa
AG-525,Andy Gerbode,Corporate,Ardabil,Ardabil,Iran,,EMEA,EMEA
AG-675,Anna Gayman,Consumer,Vienna,Vienna,Austria,,EMEA,EMEA
AG-765,Anthony Garverick,Home Office,Vienna,Vienna,Austria,,EMEA,EMEA
AG-900,Arthur Gainer,Consumer,Dar es Salaam,Dar Es Salaam,Tanzania,,Africa,Africa
AH-10030,Aaron Hawkins,Corporate,Vienna,Vienna,Austria,12180.0,EU,Central
AH-10075,Adam Hart,Corporate,Azcapotzalco,Distrito Federal,Mexico,2920.0,LATAM,North
AH-10120,Adrian Hane,Home Office,Culiacán,Sinaloa,Mexico,97301.0,LATAM,North
AH-10195,Alan Haines,Corporate,San Salvador,San Salvador,El Salvador,33319.0,LATAM,Central
AH-10210,Alan Hwang,Consumer,Colombo,Parana,Brazil,10024.0,LATAM,South
AH-10465,Amy Hunt,Consumer,León,León,Nicaragua,75217.0,LATAM,Central
AH-10585,Angele Hood,Consumer,Townsville,Queensland,Australia,33142.0,APAC,Oceania
AH-10690,Anna Häberlin,Corporate,Sydney,New South Wales,Australia,22153.0,APAC,Oceania
AH-120,Adrian Hane,Home Office,Johannesburg,Gauteng,South Africa,,Africa,Africa
AH-195,Alan Haines,Corporate,Mashhad,Razavi Khorasan,Iran,,EMEA,EMEA
AH-210,Alan Hwang,Consumer,Alexandria,Al Iskandariyah,Egypt,,Africa,Africa
AH-30,Aaron Hawkins,Corporate,Kamina,Katanga,Democratic Republic of the Congo,,Africa,Africa
AH-465,Amy Hunt,Consumer,Stellenbosch,Western Cape,South Africa,,Africa,Africa
AH-585,Angele Hood,Consumer,Mashhad,Razavi Khorasan,Iran,,EMEA,EMEA
AH-690,Anna Häberlin,Corporate,Cairo,Al Qahirah,Egypt,,Africa,Africa
AH-75,Adam Hart,Corporate,Port Elizabeth,Eastern Cape,South Africa,,Africa,Africa
AI-10855,Arianne Irving,Consumer,Sydney,New South Wales,Australia,94122.0,APAC,Oceania
AI-855,Arianne Irving,Consumer,Kahramanmaras,Kahramanmaras,Turkey,,EMEA,EMEA
AJ-10780,Anthony Jacobs,Corporate,Kabul,Kabul,Afghanistan,44052.0,APAC,Central Asia
AJ-10795,Anthony Johnson,Corporate,Apple Valley,California,United States,92307.0,US,West
AJ-10945,Ashley Jarboe,Consumer,Reynosa,Tamaulipas,Mexico,46226.0,LATAM,North
AJ-10960,Astrea Jones,Consumer,Paris,Ile-de-France,France,14609.0,EU,Central
AJ-780,Anthony Jacobs,Corporate,Shahriar,Tehran,Iran,,EMEA,EMEA
AJ-795,Anthony Johnson,Corporate,Khartoum,Khartoum,Sudan,,Africa,Africa
AJ-945,Ashley Jarboe,Consumer,Saint-Louis,Saint-Louis,Senegal,,Africa,Africa
AJ-960,Astrea Jones,Consumer,Casablanca,Grand Casablanca,Morocco,,Africa,Africa
AM-10360,Alice McCarthy,Corporate,Harrogate,England,United Kingdom,90008.0,EU,North
AM-10705,Anne McFarland,Consumer,Bandung,Jawa Barat,Indonesia,2920.0,APAC,Southeast Asia
AM-360,Alice McCarthy,Corporate,Ulan Bator,Ulaanbaatar,Mongolia,,EMEA,EMEA
AM-705,Anne McFarland,Consumer,Mazyr,Homyel',Belarus,,EMEA,EMEA
AO-10810,Anthony O'Donnell,Corporate,Doncaster,England,United Kingdom,90045.0,EU,North
AO-810,Anthony O'Donnell,Corporate,North York,Ontario,Canada,,Canada,Canada
AP-10720,Anne Pryor,Home Office,Jabalpur,Madhya Pradesh,India,90032.0,APAC,Central Asia
AP-10915,Arthur Prichep,Consumer,Shouguang,Shandong,China,42420.0,APAC,North Asia
AP-720,Anne Pryor,Home Office,Balmazujvaros,Hajdu-Bihar,Hungary,,EMEA,EMEA
AP-915,Arthur Prichep,Consumer,Chisinau,Chisinau,Moldova,,EMEA,EMEA
AR-10345,Alex Russell,Corporate,Mexicali,Baja California,Mexico,19143.0,LATAM,North
AR-10405,Allen Rosenblatt,Corporate,Franklin,Massachusetts,United States,2038.0,US,East
AR-10510,Andrew Roberts,Consumer,Velletri,Lazio,Italy,10024.0,EU,South
AR-10540,Andy Reiter,Consumer,Jackson,Michigan,United States,49201.0,US,Central
AR-10570,Anemone Ratner,Consumer,Perth,Western Australia,Australia,31907.0,APAC,Oceania
AR-10825,Anthony Rawles,Corporate,Concord,California,United States,94521.0,US,West
AR-345,Alex Russell,Corporate,Chingola,Copperbelt,Zambia,,Africa,Africa
AR-405,Allen Rosenblatt,Corporate,Dnipropetrovs'k,Dnipropetrovs'k,Ukraine,,EMEA,EMEA
AR-510,Andrew Roberts,Consumer,Izmir,Izmir,Turkey,,EMEA,EMEA
AR-540,Andy Reiter,Consumer,Shiraz,Fars,Iran,,EMEA,EMEA
AR-570,Anemone Ratner,Consumer,Shiraz,Fars,Iran,,EMEA,EMEA
AR-825,Anthony Rawles,Corporate,Fes,Fès-Boulemane,Morocco,,Africa,Africa
AS-10045,Aaron Smayling,Corporate,Jacksonville,North Carolina,United States,28540.0,US,South
AS-10090,Adam Shillingsburg,Consumer,Huddersfield,England,United Kingdom,19143.0,EU,North
AS-10135,Adrian Shami,Home Office,Nagercoil,Tamil Nadu,India,10035.0,APAC,Central Asia
AS-10225,Alan Schoenberger,Corporate,Jinan,Shandong,China,36116.0,APAC,North Asia
AS-10240,Alan Shonely,Consumer,Whyalla,South Australia,Australia,33614.0,APAC,Oceania
AS-10285,Alejandro Savely,Corporate,Kanpur,Uttar Pradesh,India,46060.0,APAC,Central Asia
AS-10630,Ann Steele,Home Office,Whakatane,Bay of Plenty,New Zealand,98103.0,APAC,Oceania
AS-135,Adrian Shami,Home Office,Ashdod,Southern,Israel,,EMEA,EMEA
AS-225,Alan Schoenberger,Corporate,Saveh,Markazi,Iran,,EMEA,EMEA
AS-240,Alan Shonely,Consumer,Tallinn,Harjumaa,Estonia,,EMEA,EMEA
AS-285,Alejandro Savely,Corporate,Kaliningrad,Kaliningrad,Russia,,EMEA,EMEA
AS-45,Aaron Smayling,Corporate,Cape Town,Western Cape,South Africa,,Africa,Africa
AS-630,Ann Steele,Home Office,Lagos,Lagos,Nigeria,,Africa,Africa
AS-90,Adam Shillingsburg,Consumer,Sale,Rabat-Salé-Zemmour-Zaer,Morocco,,Africa,Africa
AT-10435,Alyssa Tate,Home Office,Guaymas,Sonora,Mexico,90004.0,LATAM,North
AT-10735,Annie Thurman,Consumer,Morristown,New Jersey,United States,7960.0,US,East
AT-435,Alyssa Tate,Home Office,Dire Dawa,Dire Dawa,Ethiopia,,Africa,Africa
AT-735,Annie Thurman,Consumer,Galati,Galati,Romania,,EMEA,EMEA
AW-10840,Anthony Witt,Consumer,Amsterdam,North Holland,Netherlands,19140.0,EU,Central
AW-10930,Arthur Wiediger,Home Office,Nottingham,England,United Kingdom,73120.0,EU,North
AW-840,Anthony Witt,Consumer,Timisoara,Timis,Romania,,EMEA,EMEA
AW-930,Arthur Wiediger,Home Office,Arbil,Arbil,Iraq,,EMEA,EMEA
AY-10555,Andy Yotov,Corporate,Bradford,England,United Kingdom,92054.0,EU,North
AY-555,Andy Yotov,Corporate,Cairo,Al Qahirah,Egypt,,Africa,Africa
AZ-10750,Annie Zypern,Consumer,León,León,Nicaragua,92037.0,LATAM,Central
AZ-750,Annie Zypern,Consumer,Nampula,Nampula,Mozambique,,Africa,Africa
BB-10990,Barry Blumstein,Corporate,Santo Domingo,Santo Domingo,Dominican Republic,90036.0,LATAM,Caribbean
BB-11545,Brenda Bowman,Corporate,Erlangen,Bavaria,Germany,94601.0,EU,Central
BB-1545,Brenda Bowman,Corporate,Sale,Rabat-Salé-Zemmour-Zaer,Morocco,,Africa,Africa
BB-990,Barry Blumstein,Corporate,Bur Sudan,Red Sea,Sudan,,Africa,Africa
BC-11125,Becky Castell,Home Office,Whangarei,Northland,New Zealand,94109.0,APAC,Oceania
BC-1125,Becky Castell,Home Office,Istanbul,Istanbul,Turkey,,EMEA,EMEA
BD-11320,Bill Donatelli,Consumer,San Francisco,California,United States,94110.0,US,West
BD-11500,Bradley Drucker,Consumer,Columbus,Georgia,United States,31907.0,US,South
BD-11560,Brendan Dodson,Home Office,Cambridge,England,United Kingdom,93727.0,EU,North
BD-11605,Brian Dahlen,Consumer,Newcastle,New South Wales,Australia,94109.0,APAC,Oceania
BD-11620,Brian DeCherney,Consumer,Fuengirola,Andalusía,Spain,73505.0,EU,South
BD-11635,Brian Derr,Consumer,Perth,Western Australia,Australia,10009.0,APAC,Oceania
BD-11725,Bruce Degenhardt,Consumer,Mixco,Guatemala,Guatemala,31907.0,LATAM,Central
BD-11770,Bryan Davis,Consumer,Bressuire,Poitou-Charentes,France,10024.0,EU,Central
BD-1320,Bill Donatelli,Consumer,Kerman,Kerman,Iran,,EMEA,EMEA
BD-1500,Bradley Drucker,Consumer,Lagos,Lagos,Nigeria,,Africa,Africa
BD-1560,Brendan Dodson,Home Office,Prague,Prague,Czech Republic,,EMEA,EMEA
BD-1605,Brian Dahlen,Consumer,Holon,Tel Aviv,Israel,,EMEA,EMEA
BD-1620,Brian DeCherney,Consumer,Arbil,Arbil,Iraq,,EMEA,EMEA
BD-1635,Brian Derr,Consumer,Al Amarah,Maysan,Iraq,,EMEA,EMEA
BD-1725,Bruce Degenhardt,Consumer,Ramat Aviv,Tel Aviv,Israel,,EMEA,EMEA
BD-1770,Bryan Davis,Consumer,Trabzon,Trabzon,Turkey,,EMEA,EMEA
BE-11335,Bill Eplett,Home Office,Morelia,Michoacán,Mexico,49201.0,LATAM,North
BE-11410,Bobby Elias,Consumer,Duisburg,North Rhine-Westphalia,Germany,54915.0,EU,Central
BE-11455,Brad Eason,Home Office,Sydney,New South Wales,Australia,44105.0,APAC,Oceania
BE-1335,Bill Eplett,Home Office,Bouake,Vallee Du Bandama,Cote d'Ivoire,,Africa,Africa
BE-1410,Bobby Elias,Consumer,Kindia,Kindia,Guinea,,Africa,Africa
BE-1455,Brad Eason,Home Office,Huambo,Huambo,Angola,,Africa,Africa
BF-1005,Barry Franz,Home Office,Niamey,Niamey,Niger,,Africa,Africa
BF-1020,Barry Französisch,Corporate,Yamoussoukro,Lacs,Cote d'Ivoire,,Africa,Africa
BF-1080,Bart Folk,Consumer,Edmonton,Alberta,Canada,,Canada,Canada
BF-10975,Barbara Fisher,Corporate,Saint-Priest,Rhône-Alpes,France,47201.0,EU,Central
BF-11005,Barry Franz,Home Office,Gorakhpur,Haryana,India,91104.0,APAC,Central Asia
BF-11020,Barry Französisch,Corporate,New York City,New York,United States,10024.0,US,East
BF-11080,Bart Folk,Consumer,Adelaide,South Australia,Australia,21215.0,APAC,Oceania
BF-11170,Ben Ferrer,Home Office,Lawrence,Massachusetts,United States,1841.0,US,East
BF-11215,Benjamin Farhat,Home Office,Managua,Managua,Nicaragua,55407.0,LATAM,Central
BF-11275,Beth Fritzler,Corporate,La Romana,La Romana,Dominican Republic,85705.0,LATAM,Caribbean
BF-1170,Ben Ferrer,Home Office,Ndola,Copperbelt,Zambia,,Africa,Africa
BF-1215,Benjamin Farhat,Home Office,Bulawayo,Bulawayo,Zimbabwe,,Africa,Africa
BF-1275,Beth Fritzler,Corporate,Bursa,Bursa,Turkey,,EMEA,EMEA
BF-975,Barbara Fisher,Corporate,Kigali,Kigali,Rwanda,,Africa,Africa
BG-1035,Barry Gonzalez,Consumer,Panevezys,Panevezys,Lithuania,,EMEA,EMEA
BG-11035,Barry Gonzalez,Consumer,Espoo,Uusimaa,Finland,37211.0,EU,North
BG-11695,Brooke Gillingham,Corporate,Culiacán,Sinaloa,Mexico,45231.0,LATAM,North
BG-11740,Bruce Geld,Consumer,Kuala Lumpur,Kuala Lumpur,Malaysia,93309.0,APAC,Southeast Asia
BG-1695,Brooke Gillingham,Corporate,Sokode,Centrale,Togo,,Africa,Africa
BG-1740,Bruce Geld,Consumer,Istanbul,Istanbul,Turkey,,EMEA,EMEA
BH-11710,Brosina Hoffman,Consumer,Berlin,Berlin,Germany,90032.0,EU,Central
BH-1710,Brosina Hoffman,Consumer,Chelyabinsk,Chelyabinsk,Russia,,EMEA,EMEA
BK-11260,Berenike Kampe,Consumer,Tongi,Dhaka,Bangladesh,60610.0,APAC,Central Asia
BK-1260,Berenike Kampe,Consumer,Misratah,Misratah,Libya,,Africa,Africa
BM-11140,Becky Martin,Consumer,San Antonio,Texas,United States,78207.0,US,Central
BM-1140,Becky Martin,Consumer,Kharkiv,Kharkiv,Ukraine,,EMEA,EMEA
BM-11575,Brendan Murry,Corporate,Brisbane,Queensland,Australia,20877.0,APAC,Oceania
BM-11650,Brian Moss,Corporate,Columbia,Maryland,United States,21044.0,US,East
BM-11785,Bryan Mills,Consumer,Milpa Alta,Distrito Federal,Mexico,77036.0,LATAM,North
BM-1575,Brendan Murry,Corporate,Nouakchott,Nouakchott,Mauritania,,Africa,Africa
BM-1650,Brian Moss,Corporate,Kermanshah,Kermanshah,Iran,,EMEA,EMEA
BM-1785,Bryan Mills,Consumer,Guelma,Guelma,Algeria,,Africa,Africa
BN-11470,Brad Norvell,Corporate,Bangkok,Bangkok,Thailand,27511.0,APAC,Southeast Asia
BN-11515,Bradley Nguyen,Consumer,Angers,Pays de la Loire,France,10011.0,EU,Central
BN-1470,Brad Norvell,Corporate,Katowice,Silesia,Poland,,EMEA,EMEA
BN-1515,Bradley Nguyen,Consumer,Sanandaj,Kordestan,Iran,,EMEA,EMEA
BO-11350,Bill Overfelt,Corporate,Bangalore,Karnataka,India,74012.0,APAC,Central Asia
BO-11425,Bobby Odegard,Consumer,Metepec,México,Mexico,40475.0,LATAM,North
BO-1350,Bill Overfelt,Corporate,Niamey,Niamey,Niger,,Africa,Africa
BO-1425,Bobby Odegard,Consumer,Sikasso,Sikasso,Mali,,Africa,Africa
BP-1050,Barry Pond,Corporate,Abidjan,Lagunes,Cote d'Ivoire,,Africa,Africa
BP-1095,Bart Pistole,Corporate,Al Hillah,Babil,Iraq,,EMEA,EMEA
BP-11050,Barry Pond,Corporate,London,England,United Kingdom,7060.0,EU,North
BP-11095,Bart Pistole,Corporate,Karlstad,Värmland,Sweden,90008.0,EU,North
BP-11155,Becky Pak,Consumer,London,England,United Kingdom,90008.0,EU,North
BP-11185,Ben Peterman,Corporate,Paris,Ile-de-France,France,19120.0,EU,Central
BP-11230,Benjamin Patterson,Consumer,Surat,Gujarat,India,45373.0,APAC,Central Asia
BP-11290,Beth Paige,Consumer,Singapore,Singapore,Singapore,90036.0,APAC,Southeast Asia
BP-1155,Becky Pak,Consumer,Edmonton,Alberta,Canada,,Canada,Canada
BP-1185,Ben Peterman,Corporate,Malatya,Malatya,Turkey,,EMEA,EMEA
BP-1230,Benjamin Patterson,Consumer,Yaounde,Centre,Cameroon,,Africa,Africa
BP-1290,Beth Paige,Consumer,Zagreb,Grad Zagreb,Croatia,,EMEA,EMEA
BS-11365,Bill Shonely,Corporate,Saint-Brieuc,Brittany,France,8701.0,EU,Central
BS-11380,Bill Stewart,Corporate,Bandung,Jawa Barat,Indonesia,43402.0,APAC,Southeast Asia
BS-11590,Brendan Sweed,Corporate,Thionville,Lorraine,France,85234.0,EU,Central
BS-11665,Brian Stugart,Consumer,Clamart,Ile-de-France,France,60623.0,EU,Central
BS-11755,Bruce Stewart,Consumer,Cairns,Queensland,Australia,44105.0,APAC,Oceania
BS-11800,Bryan Spruell,Home Office,Kendari,Sulawesi Tenggara,Indonesia,10011.0,APAC,Southeast Asia
BS-1365,Bill Shonely,Corporate,Accra,Greater Accra,Ghana,,Africa,Africa
BS-1380,Bill Stewart,Corporate,Baghdad,Baghdad,Iraq,,EMEA,EMEA
BS-1590,Brendan Sweed,Corporate,Zagreb,Grad Zagreb,Croatia,,EMEA,EMEA
BS-1665,Brian Stugart,Consumer,Khorramabad,Lorestan,Iran,,EMEA,EMEA
BS-1755,Bruce Stewart,Consumer,Port Harcourt,Rivers,Nigeria,,Africa,Africa
BS-1800,Bryan Spruell,Home Office,Cape Town,Western Cape,South Africa,,Africa,Africa
BT-11305,Beth Thompson,Home Office,San Gabriel,California,United States,91776.0,US,West
BT-11395,Bill Tyler,Corporate,Worthing,England,United Kingdom,48227.0,EU,North
BT-11440,Bobby Trafton,Consumer,Manila,National Capital,Philippines,60423.0,APAC,Southeast Asia
BT-11485,Brad Thomas,Home Office,El Prat de Llobregat,Catalonia,Spain,20735.0,EU,South
BT-11530,Bradley Talbott,Home Office,Muzaffarpur,Bihar,India,90036.0,APAC,Central Asia
BT-11680,Brian Thompson,Consumer,Ube,Yamaguchi,Japan,77041.0,APAC,North Asia
BT-1305,Beth Thompson,Home Office,Severodvinsk,Arkhangel'sk,Russia,,EMEA,EMEA
BT-1395,Bill Tyler,Corporate,Chitungwiza,Harare,Zimbabwe,,Africa,Africa
BT-1440,Bobby Trafton,Consumer,Istanbul,Istanbul,Turkey,,EMEA,EMEA
BT-1485,Brad Thomas,Home Office,Riyadh,Ar Riyad,Saudi Arabia,,EMEA,EMEA
BT-1530,Bradley Talbott,Home Office,North York,Ontario,Canada,,Canada,Canada
BT-1680,Brian Thompson,Consumer,Idfu,Aswan,Egypt,,Africa,Africa
BV-11245,Benjamin Venier,Corporate,San Sebastian,Basque Country,Spain,37167.0,EU,South
BV-1245,Benjamin Venier,Corporate,Mashhad,Razavi Khorasan,Iran,,EMEA,EMEA
BW-1065,Barry Weirich,Consumer,Kananga,Kasai-Occidental,Democratic Republic of the Congo,,Africa,Africa
BW-11065,Barry Weirich,Consumer,Cologne,North Rhine-Westphalia,Germany,19120.0,EU,Central
BW-1110,Bart Watters,Corporate,Khmel'nyts'kyy,Khmel'nyts'kyy,Ukraine,,EMEA,EMEA
BW-11110,Bart Watters,Corporate,Detroit,Michigan,United States,48205.0,US,Central
BW-11200,Ben Wallace,Consumer,Dieppe,Upper Normandy,France,94122.0,EU,Central
BW-1200,Ben Wallace,Consumer,Khartoum,Khartoum,Sudan,,Africa,Africa
CA-11965,Carol Adams,Corporate,Fuji,Shizuoka,Japan,2886.0,APAC,North Asia
CA-12055,Cathy Armstrong,Home Office,Castrop-Rauxel,North Rhine-Westphalia,Germany,90036.0,EU,Central
CA-12265,Christina Anderson,Consumer,Colchester,England,United Kingdom,19805.0,EU,North
CA-12310,Christine Abelman,Corporate,Menton,Provence-Alpes-Côte d'Azur,France,92804.0,EU,Central
CA-12775,Cynthia Arntzen,Consumer,Kota,Chhattisgarh,India,19140.0,APAC,Central Asia
CA-1965,Carol Adams,Corporate,Ploiesti,Prahova,Romania,,EMEA,EMEA
CA-2055,Cathy Armstrong,Home Office,Whitby,Ontario,Canada,,Canada,Canada
CA-2265,Christina Anderson,Consumer,Sofia,Sofiya-Grad,Bulgaria,,EMEA,EMEA
CA-2310,Christine Abelman,Corporate,Mosul,Ninawa,Iraq,,EMEA,EMEA
CA-2775,Cynthia Arntzen,Consumer,Pretoria,Gauteng,South Africa,,Africa,Africa
CB-12025,Cassandra Brandow,Consumer,Jakarta,Jakarta,Indonesia,94110.0,APAC,Southeast Asia
CB-12415,Christy Brittain,Consumer,Columbus,Ohio,United States,43229.0,US,East
CB-12535,Claudia Bergmann,Corporate,Foggia,Apulia,Italy,5408.0,EU,South
CB-2025,Cassandra Brandow,Consumer,Lublin,Lublin,Poland,,EMEA,EMEA
CB-2415,Christy Brittain,Consumer,Baghdad,Baghdad,Iraq,,EMEA,EMEA
CB-2535,Claudia Bergmann,Corporate,Benin City,Edo,Nigeria,,Africa,Africa
CC-12100,Chad Cunningham,Home Office,Coyoacán,Distrito Federal,Mexico,90049.0,LATAM,North
CC-12145,Charles Crestani,Consumer,Regensburg,Bavaria,Germany,90049.0,EU,Central
CC-12220,Chris Cortes,Consumer,New York City,New York,United States,10024.0,US,East
CC-12370,Christopher Conant,Consumer,Philadelphia,Pennsylvania,United States,19120.0,US,East
CC-12430,Chuck Clark,Home Office,Morelia,Michoacán,Mexico,90712.0,LATAM,North
CC-12475,Cindy Chapman,Consumer,Bhavnagar,Gujarat,India,92037.0,APAC,Central Asia
CC-12550,Clay Cheatham,Consumer,Whyalla,South Australia,Australia,94122.0,APAC,Oceania
CC-12610,Corey Catlett,Corporate,Iserlohn,North Rhine-Westphalia,Germany,22153.0,EU,Central
CC-12670,Craig Carreira,Consumer,Florence,Tuscany,Italy,90032.0,EU,South
CC-12685,Craig Carroll,Consumer,Vijayawada,Andhra Pradesh,India,10011.0,APAC,Central Asia
CC-2100,Chad Cunningham,Home Office,Oran,Oran,Algeria,,Africa,Africa
CC-2145,Charles Crestani,Consumer,Nairobi,Nairobi,Kenya,,Africa,Africa
CC-2220,Chris Cortes,Consumer,Toronto,Ontario,Canada,,Canada,Canada
CC-2370,Christopher Conant,Consumer,Chelyabinsk,Chelyabinsk,Russia,,EMEA,EMEA
CC-2430,Chuck Clark,Home Office,Quchan,Razavi Khorasan,Iran,,EMEA,EMEA
CC-2475,Cindy Chapman,Consumer,Matola,Maputo,Mozambique,,Africa,Africa
CC-2550,Clay Cheatham,Consumer,Kharkiv,Kharkiv,Ukraine,,EMEA,EMEA
CC-2610,Corey Catlett,Corporate,Myslowice,Silesia,Poland,,EMEA,EMEA
CC-2670,Craig Carreira,Consumer,Beirut,Beirut,Lebanon,,EMEA,EMEA
CC-2685,Craig Carroll,Consumer,George,Western Cape,South Africa,,Africa,Africa
CD-11920,Carlos Daly,Consumer,New York City,New York,United States,10035.0,US,East
CD-11980,Carol Darley,Consumer,Tours,Centre,France,10011.0,EU,Central
CD-12280,Christina DeMoss,Consumer,Sydney,New South Wales,Australia,98105.0,APAC,Oceania
CD-12790,Cynthia Delaney,Home Office,Munster,Lower Saxony,Germany,73120.0,EU,Central
CD-1920,Carlos Daly,Consumer,Mabopane,Gauteng,South Africa,,Africa,Africa
CD-1980,Carol Darley,Consumer,Mahajanga,Boeny,Madagascar,,Africa,Africa
CD-2280,Christina DeMoss,Consumer,L'viv,L'viv,Ukraine,,EMEA,EMEA
CD-2790,Cynthia Delaney,Home Office,Port Elizabeth,Eastern Cape,South Africa,,Africa,Africa
CG-12040,Catherine Glotzbach,Home Office,Wellington,Wellington,New Zealand,19120.0,APAC,Oceania
CG-12520,Claire Gute,Consumer,Adelaide,South Australia,Australia,42420.0,APAC,Oceania
CG-2040,Catherine Glotzbach,Home Office,Kartal,Istanbul,Turkey,,EMEA,EMEA
CG-2520,Claire Gute,Consumer,Buzau,Buzau,Romania,,EMEA,EMEA
CH-12070,Cathy Hwang,Home Office,Paris,Ile-de-France,France,48227.0,EU,Central
CH-2070,Cathy Hwang,Home Office,Malayer,Hamadan,Iran,,EMEA,EMEA
CJ-11875,Carl Jackson,Corporate,Brisbane,Queensland,Australia,19140.0,APAC,Oceania
CJ-12010,Caroline Jumper,Consumer,Anshan,Liaoning,China,10009.0,APAC,North Asia
CJ-1875,Carl Jackson,Corporate,Konya,Konya,Turkey,,EMEA,EMEA
CJ-2010,Caroline Jumper,Consumer,Rabat,Rabat-Salé-Zemmour-Zaer,Morocco,,Africa,Africa
